<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.23	09:00:00	1.09140	1.09162	1.09039	1.09084	3126	0	0
2024.01.23	10:00:00	1.09085	1.09107	1.08925	1.08952	3008	0	0
2024.01.23	11:00:00	1.08951	1.08952	1.08838	1.08876	2648	0	0
2024.01.23	12:00:00	1.08874	1.08884	1.08676	1.08696	2561	0	0
2024.01.23	13:00:00	1.08696	1.08722	1.08602	1.08665	2317	0	0
2024.01.23	14:00:00	1.08665	1.08733	1.08605	1.08639	2425	0	0
2024.01.23	15:00:00	1.08643	1.08760	1.08643	1.08741	3020	0	0
2024.01.23	16:00:00	1.08741	1.08741	1.08486	1.08528	4139	0	0
2024.01.23	17:00:00	1.08529	1.08584	1.08217	1.08310	4576	0	0
2024.01.23	18:00:00	1.08312	1.08396	1.08258	1.08282	3374	0	0
2024.01.23	19:00:00	1.08282	1.08358	1.08247	1.08315	2409	0	0
2024.01.23	20:00:00	1.08316	1.08394	1.08305	1.08372	2248	0	0
2024.01.23	21:00:00	1.08372	1.08478	1.08360	1.08453	1876	0	0
2024.01.23	22:00:00	1.08453	1.08502	1.08437	1.08499	1407	0	0
2024.01.23	23:00:00	1.08499	1.08560	1.08483	1.08537	970	0	0
2024.01.24	00:00:00	1.08414	1.08559	1.08414	1.08519	632	0	0
2024.01.24	01:00:00	1.08524	1.08592	1.08524	1.08574	569	0	0
2024.01.24	02:00:00	1.08574	1.08600	1.08555	1.08561	1273	0	0
2024.01.24	03:00:00	1.08560	1.08596	1.08514	1.08581	2047	0	0
2024.01.24	04:00:00	1.08581	1.08585	1.08534	1.08572	1465	0	0
2024.01.24	05:00:00	1.08572	1.08615	1.08568	1.08591	1120	0	0
2024.01.24	06:00:00	1.08592	1.08661	1.08584	1.08646	964	0	0
2024.01.24	07:00:00	1.08646	1.08646	1.08594	1.08622	1267	0	0
2024.01.24	08:00:00	1.08621	1.08666	1.08609	1.08636	1691	0	0
2024.01.24	09:00:00	1.08632	1.08795	1.08605	1.08734	2746	0	0
2024.01.24	10:00:00	1.08735	1.08797	1.08626	1.08700	4420	0	0
2024.01.24	11:00:00	1.08707	1.09079	1.08698	1.09028	3951	0	0
2024.01.24	12:00:00	1.09028	1.09049	1.08933	1.08979	2964	0	0
2024.01.24	13:00:00	1.08978	1.09016	1.08910	1.08928	2479	0	0
2024.01.24	14:00:00	1.08928	1.08993	1.08876	1.08948	2530	0	0
2024.01.24	15:00:00	1.08947	1.09272	1.08937	1.09249	4225	0	0
2024.01.24	16:00:00	1.09249	1.09324	1.09017	1.09034	5507	0	0
2024.01.24	17:00:00	1.09037	1.09077	1.08933	1.09009	6019	0	0
2024.01.24	18:00:00	1.09010	1.09055	1.08905	1.09006	4465	0	0
2024.01.24	19:00:00	1.09004	1.09088	1.08954	1.09054	2710	0	0
2024.01.24	20:00:00	1.09054	1.09061	1.08904	1.08926	3531	0	0
2024.01.24	21:00:00	1.08927	1.08933	1.08815	1.08885	2834	0	0
2024.01.24	22:00:00	1.08885	1.08906	1.08793	1.08801	2381	0	0
2024.01.24	23:00:00	1.08797	1.08853	1.08778	1.08846	1069	0	0
2024.01.25	00:00:00	1.08823	1.08861	1.08762	1.08849	267	0	15
2024.01.25	01:00:00	1.08851	1.08866	1.08811	1.08812	681	0	0
2024.01.25	02:00:00	1.08814	1.08814	1.08724	1.08743	1536	0	0
2024.01.25	03:00:00	1.08743	1.08789	1.08704	1.08777	1736	0	0
2024.01.25	04:00:00	1.08778	1.08801	1.08750	1.08774	1428	0	0
2024.01.25	05:00:00	1.08774	1.08820	1.08774	1.08780	1018	0	0
2024.01.25	06:00:00	1.08780	1.08814	1.08746	1.08757	849	0	0
2024.01.25	07:00:00	1.08757	1.08790	1.08750	1.08784	1042	0	0
2024.01.25	08:00:00	1.08784	1.08867	1.08756	1.08863	1414	0	0
2024.01.25	09:00:00	1.08862	1.08915	1.08842	1.08880	2059	0	0
2024.01.25	10:00:00	1.08878	1.08996	1.08830	1.08991	3294	0	0
2024.01.25	11:00:00	1.08993	1.08999	1.08919	1.08960	2959	0	0
2024.01.25	12:00:00	1.08961	1.08988	1.08920	1.08930	2519	0	0
2024.01.25	13:00:00	1.08931	1.08953	1.08868	1.08949	2069	0	0
2024.01.25	14:00:00	1.08952	1.08958	1.08858	1.08883	1975	0	0
2024.01.25	15:00:00	1.08883	1.09020	1.08671	1.08794	6976	0	0
2024.01.25	16:00:00	1.08794	1.08794	1.08532	1.08603	7549	0	0
2024.01.25	17:00:00	1.08603	1.08616	1.08294	1.08318	5877	0	0
2024.01.25	18:00:00	1.08318	1.08398	1.08242	1.08364	3773	0	0
2024.01.25	19:00:00	1.08364	1.08522	1.08313	1.08377	3582	0	0
2024.01.25	20:00:00	1.08378	1.08467	1.08301	1.08302	3677	0	0
2024.01.25	21:00:00	1.08302	1.08377	1.08218	1.08360	2692	0	0
2024.01.25	22:00:00	1.08360	1.08406	1.08335	1.08398	1703	0	0
2024.01.25	23:00:00	1.08399	1.08483	1.08392	1.08459	940	0	0
2024.01.26	00:00:00	1.08392	1.08475	1.08380	1.08465	617	0	0
2024.01.26	01:00:00	1.08467	1.08478	1.08429	1.08456	735	0	0
2024.01.26	02:00:00	1.08457	1.08460	1.08376	1.08400	1236	0	0
2024.01.26	03:00:00	1.08400	1.08468	1.08393	1.08446	1811	0	0
2024.01.26	04:00:00	1.08446	1.08490	1.08440	1.08444	1302	0	0
2024.01.26	05:00:00	1.08444	1.08476	1.08440	1.08451	925	0	0
2024.01.26	06:00:00	1.08451	1.08452	1.08381	1.08397	769	0	0
